Country,Enedc (g/km),Ewltp (g/km)
AT,125.45519398144909,154.67465950813772
BE,121.5312881024047,145.83316860372432
BG,137.89642720184074,157.40406869948566
CY,126.8856405130768,
CZ,128.65480534534976,
DE,131.34461448475324,156.7294971822383
DK,111.90408336591219,135.88101416443558
EE,130.0826352562461,157.02044122184512
ES,121.32763280590873,147.40733445259403
FI,115.32158756092412,138.89188329011785
FR,113.76400947358789,139.28248635973213
GB,127.69207237190288,152.80512308148684
GR,115.60278434462832,138.17853603894704
HR,119.40592068216556,144.4134046868931
HU,131.79051283668707,150.3247742135138
IE,113.99966788725197,142.2059307554428
IS,114.70648788927336,137.18948642922007
IT,119.4546015105529,144.6861723722841
LT,131.9039350841986,157.14058836540588
LU,132.9845165814679,162.76865191539136
LV,128.40161725067387,154.93350432831036
MT,105.32685788787484,131.72607821919925
NL,98.40937519790255,141.99406341887078
NO,59.85628860745212,3.1891479164974412
PL,131.9607777436673,154.57965948233442
PT,109.57257558087377,131.84232746805986
RO,124.33062451572911,174.5211671149573
SE,119.81341722666895,144.59878812337513
SI,123.75982910756171,148.85644911846583
SK,133.34035603462354,155.1055442575132
